thread_id,escalated,category,reason,labeler,turn_count,first_customer_text
TW_THREAD_000001,1,complaint,"Calls the provider ""the worst customer service"", a categorical negative judgment.",claude-opus-5-in-thread,7,@sprintcare is the worst customer service
TW_THREAD_000002,1,complaint,"Accuses the carrier of lying about coverage; strong negative sentiment, not a query.",claude-opus-5-in-thread,6,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh."
TW_THREAD_000003,0,self_service,"Asks about a shortcode setting on the account; a configuration lookup, no severe sentiment.",claude-opus-5-in-thread,2,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK"
TW_THREAD_000005,0,self_service,"Praises the reps and asks for service activation; the warning is jokey, not severe.",claude-opus-5-in-thread,2,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!"
TW_THREAD_000006,1,complaint,"Daily service failure plus ""why should I pay $171 per month"" questions the bill's validity.",claude-opus-5-in-thread,2,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik
TW_THREAD_000007,1,contact_customer_service,"""somebody from @VerizonSupport please help"" asks a support rep to step in directly.",claude-opus-5-in-thread,4,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
TW_THREAD_000008,0,self_service,Jokey outage report on a friend's behalf; no demand and no severe sentiment.,claude-opus-5-in-thread,2,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz
TW_THREAD_000009,1,payment_issue,Has been unable to pay a bill for 60 days; a payment processing failure.,claude-opus-5-in-thread,10,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!"
TW_THREAD_000010,1,complaint,"""worst ISP I've ever had"" is a categorical negative judgment.",claude-opus-5-in-thread,10,@115722 is the worst ISP I’ve ever had
TW_THREAD_000011,0,self_service,Asks when an outage will be fixed; a status question answerable from a service page.,claude-opus-5-in-thread,2,.@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt; When can we expect a fix ?
TW_THREAD_000012,0,self_service,Terse app bug report with no demand or severe sentiment.,claude-opus-5-in-thread,2,@115725 fix your app it won't even open
TW_THREAD_000013,0,self_service,Halloween costume joke directed at the brand; no unresolved issue.,claude-opus-5-in-thread,3,@ChipotleTweets @28  I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn
TW_THREAD_000016,0,self_service,Costume joke tagging the promo hashtag; no issue raised.,claude-opus-5-in-thread,4,When you're the only one in costume #boorito @ChipotleTweets
TW_THREAD_000019,0,self_service,Enthusiastic promo participation; no unresolved issue.,claude-opus-5-in-thread,2,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?"
TW_THREAD_000020,1,payment_issue,States the card was charged twice for one app order; a duplicate charge.,claude-opus-5-in-thread,3,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice
TW_THREAD_000021,0,self_service,"Shares promo details with followers; informational, not a support request.",claude-opus-5-in-thread,2,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones"
TW_THREAD_000022,0,self_service,Joking eligibility question about the costume promo.,claude-opus-5-in-thread,4,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
TW_THREAD_000023,0,self_service,Fond anecdote about the annual promo; no issue raised.,claude-opus-5-in-thread,2,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets"
TW_THREAD_000025,0,self_service,Laments living far from a store; no support need.,claude-opus-5-in-thread,2,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️
TW_THREAD_000026,0,self_service,Social banter about visiting in costume.,claude-opus-5-in-thread,5,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
TW_THREAD_000027,0,self_service,Meme reply to the brand; no issue raised.,claude-opus-5-in-thread,2,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T
TW_THREAD_000029,0,self_service,"Download fails with corrupted data; a technical retry issue, no refund or dispute raised.",claude-opus-5-in-thread,4,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
TW_THREAD_000030,0,self_service,Asks how to block community invites; a settings change.,claude-opus-5-in-thread,2,@AskPlayStation can i block a community from sending me invites to something i dont want to join
TW_THREAD_000031,0,self_service,"Shares a photo of a product they enjoyed; positive, no issue.",claude-opus-5-in-thread,2,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB
TW_THREAD_000032,0,self_service,Jokey gripe about avocado packaging; no demand and no severe sentiment.,claude-opus-5-in-thread,2,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word? Is it really necessary?   The pair of ‘em were suffocating. https://t.co/ff2bmOVido"
TW_THREAD_000034,0,self_service,Praise for a seasonal product; no unresolved issue.,claude-opus-5-in-thread,2,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj
TW_THREAD_000035,1,payment_issue,Cannot complete purchases in the store; a payment processing failure.,claude-opus-5-in-thread,3,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?"
TW_THREAD_000036,1,registration_problems,Locked out of two accounts and the automated recovery form rejects their verification.,claude-opus-5-in-thread,2,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info
TW_THREAD_000037,0,self_service,Reports someone streaming an unreleased title; not a support issue for this customer.,claude-opus-5-in-thread,2,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz
TW_THREAD_000038,0,self_service,Asks whether pre-order is still open; routine store information.,claude-opus-5-in-thread,6,@ATVIAssist can you still pre oder ww2 on the playstation store
TW_THREAD_000040,0,self_service,Asks why a patch was large; an informational question.,claude-opus-5-in-thread,2,@115758 Why was there a half gig update for world at war?
TW_THREAD_000041,0,self_service,Sentence fragment with no discernible request; too vague to escalate.,claude-opus-5-in-thread,2,@108162 @115761 @ATVIAssist tried that there was people so i came back
TW_THREAD_000042,0,self_service,Asks how to retrieve a pre-order code; a standard order-detail lookup.,claude-opus-5-in-thread,10,@ATVIAssist i pre ordered wwii but how do i get the code?
TW_THREAD_000043,0,self_service,Game stats reset unexpectedly; asks for help but raises no dispute or severe sentiment.,claude-opus-5-in-thread,3,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!
TW_THREAD_000044,0,self_service,Asks whether DLC will reach non-season-pass holders; a content policy question.,claude-opus-5-in-thread,2,@115754 @115765 @ATVIAssist @115766   Will non season pass holders get the bobus man Carentan at any point? Or not at all?
TW_THREAD_000045,0,self_service,"""Any help here?"" with a link and no stated problem; too vague to classify.",claude-opus-5-in-thread,9,Any help here @AdobeCare? https://t.co/x50e57UG4E
TW_THREAD_000046,0,self_service,App freezing after an update; a technical bug report without severe sentiment.,claude-opus-5-in-thread,14,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb
TW_THREAD_000047,0,self_service,"Says a streaming stick will not play; a technical fault report, mildly stated.",claude-opus-5-in-thread,6,amazonのfireTVstickが見れない😢
TW_THREAD_000048,0,self_service,Asks how to move a child's account to a different email; a profile settings change.,claude-opus-5-in-thread,2,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account"
TW_THREAD_000051,0,self_service,Feature request about crop workflow on tablet; no fault or dispute.,claude-opus-5-in-thread,2,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.
TW_THREAD_000052,0,self_service,"Sarcastic report that SVG export broke in the new version; a bug report, not severe abuse.",claude-opus-5-in-thread,6,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
TW_THREAD_000053,0,self_service,Promotional post linking a tutorial; not a customer support request.,claude-opus-5-in-thread,3,Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk https://t.co/6fsIV6WLRV
TW_THREAD_000054,0,self_service,Reports the support forum breaks despite clearing cookies; a website fault report.,claude-opus-5-in-thread,2,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t
TW_THREAD_000055,0,self_service,"Detailed PDF export bug with troubleshooting already done; technical, no dispute.",claude-opus-5-in-thread,5,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!"
TW_THREAD_000056,1,complaint,"Says the rental was dirty, misrepresented and crammed with ten people; severe dissatisfaction.",claude-opus-5-in-thread,4,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq"
TW_THREAD_000057,1,get_refund,Disputes a AUD1700 booking and demands a refund the host has not answered.,claude-opus-5-in-thread,2,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.
TW_THREAD_000058,0,self_service,Asks when pre-orders ship; a standard order status lookup.,claude-opus-5-in-thread,8,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
TW_THREAD_000059,0,self_service,"Redeemed code has not credited yet; a fulfillment status check, no dispute raised.",claude-opus-5-in-thread,2,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?
TW_THREAD_000060,0,self_service,App error code persisting after a power cycle; a technical fault report.,claude-opus-5-in-thread,3,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app"
TW_THREAD_000062,0,self_service,Asks whether there is disruption at a station; a service status question.,claude-opus-5-in-thread,6,Something going on at Preston train station ? @115796
TW_THREAD_000063,0,self_service,Reads as a booking-lookup offer rather than a customer problem; no issue to triage.,claude-opus-5-in-thread,13,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)"
TW_THREAD_000064,1,contact_customer_service,Case officer has gone silent for weeks despite all documents filed; needs a human to pick the case up.,claude-opus-5-in-thread,6,@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.
TW_THREAD_000065,1,get_refund,Demands an urgent refund for a cancelled trip; an active refund dispute.,claude-opus-5-in-thread,3,@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!
TW_THREAD_000067,0,self_service,"""Fed up"" with empty shelves and understaffing; frustration without a concrete escalation trigger.",claude-opus-5-in-thread,5,@Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc
TW_THREAD_000069,0,self_service,New user asks which app mode to start with; an onboarding FAQ.,claude-opus-5-in-thread,4,"@NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?"
TW_THREAD_000070,1,complaint,"Says the company's reps are ""really bad"" and it does not value customers; a direct service complaint.",claude-opus-5-in-thread,10,@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.
TW_THREAD_000071,0,self_service,Playful Halloween reply to the brand; no issue raised.,claude-opus-5-in-thread,4,"@McDonalds I'd love a trick, please ❤❤❤ #TrickOrTreat"
TW_THREAD_000072,0,self_service,Cannot link a brokerage in the app and asks for suggestions; a technical how-to.,claude-opus-5-in-thread,2,"@115812 I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??"
TW_THREAD_000074,0,self_service,Mild profanity about parcels left outside; a delivery gripe below the severity bar.,claude-opus-5-in-thread,2,whats wrong w/ amazon leavin shit outside like ups...🤔
TW_THREAD_000075,0,self_service,Brand marketing copy about small business; not a customer issue.,claude-opus-5-in-thread,3,"Worth the squeeze: when you’ve got us helping you along the way, owning your own #smallbiz can be quite fruitful! https://t.co/AgBM1TRAcD"
TW_THREAD_000077,0,self_service,Positive photo post about a menu item; no issue.,claude-opus-5-in-thread,3,My grandma's laying #Poolside thanks to @McDonalds delicious New #ButtermilkCrispyTenders https://t.co/4sy9hatKTi
TW_THREAD_000078,1,complaint,"""so pissed right now"" over a service failure; explicit severe anger.",claude-opus-5-in-thread,5,Way to drop the ball on customer service @115821 so pissed right now!
